"id","page","count","p_sku_id","p_name","p_price","p_comment5","p_comment4","p_comment3","p_comment2","p_comment1"
1 , 1 , 1 , 2755826 , 方太（FOTILE） ENJOY云魔方 纯平触控 欧式抽油烟机 EMD2T , 4390.0 , 10810 , 211 , 58 , 18 , 105
2 , 1 , 2 , 2920507 , 方太（FOTILE）EMD2T+FD21BE+13BES 油烟机热水器燃气灶三件套 , 6670.0 , 1399 , 30 , 13 , 2 , 13
3 , 1 , 3 , 3205014 , 方太（FOTILE）EMD2T+FD21BE+J78 欧式抽油烟机燃气灶具消毒柜套装 , 7089.0 , 0 , 0 , 0 , 0 , 0
4 , 1 , 4 , 491138 , 老板（Robam）大吸力 免拆洗触控欧式吸油烟机 CXW-200-8307 , 3680.0 , 27987 , 1632 , 426 , 165 , 810
5 , 1 , 5 , 3352895 , 老板（Robam）8307+33B7+727 欧式大吸力吸油烟机燃气灶消毒柜套装 , 5880.0 , 0 , 0 , 0 , 0 , 0
6 , 1 , 6 , 1717387 , 老板（Robam）大吸力 免拆洗触控侧吸式吸油烟机 CXW-200-26A5 , 4180.0 , 8491 , 234 , 66 , 29 , 222
7 , 1 , 7 , 2111597 , 老板（Robam）26A5+58B5+717 侧吸式吸油烟机燃气灶消毒柜套装 , 6279.0 , 0 , 0 , 0 , 0 , 0
8 , 1 , 8 , 3352875 , 老板（Robam）26A5+58B5+727 侧吸式吸油烟机燃气灶消毒柜套装 , 6480.0 , 0 , 0 , 0 , 0 , 0
9 , 1 , 9 , 3751200 , 老板（Robam）26A5+58B5+R030 侧吸式吸油烟机燃气灶电烤箱套装 , 9780.0 , 0 , 0 , 0 , 0 , 0
10 , 1 , 10 , 2304629 , 方太（FOTILE）风魔方 全自动升级 侧吸式抽油烟机 JQ25TS , 4590.0 , 10039 , 338 , 85 , 28 , 144
11 , 1 , 11 , 2819070 , 方太（FOTILE）JQ25TS+FD21BE+13BES 油烟机热水器燃气灶三件套 , 6670.0 , 7337 , 198 , 65 , 25 , 131
12 , 1 , 12 , 1717383 , 老板（Robam）大吸力 免拆洗触控欧式吸油烟机 CXW-200-8325 , 4180.0 , 5267 , 116 , 47 , 29 , 124
13 , 1 , 13 , 2111594 , 老板（Robam）8325+58B5+717 欧式大吸力吸油烟机燃气灶消毒柜套 , 6179.0 , 0 , 0 , 0 , 0 , 0
14 , 1 , 14 , 3783272 , 老板（Robam）8325+58B5+727 欧式大吸力吸油烟机燃气灶消毒柜套装 , 6380.0 , 0 , 0 , 0 , 0 , 0
15 , 1 , 15 , 3320957 , 老板（Robam）8325+58B5+R030 欧式吸油烟机燃气灶电烤箱套装 , 9680.0 , 0 , 0 , 0 , 0 , 0
16 , 1 , 16 , 1237950 , 美的（Midea）智能蒸汽洗 大风量 欧式抽油烟机灶具套装(天然气) CXW-200-DT518R , 2599.0 , 8914 , 238 , 102 , 38 , 203
17 , 1 , 17 , 2681861 , 美的(Midea) DT518R+Q360B+3905 欧式蒸汽洗 抽油烟机 燃气灶 洗碗机三件套（天然气） , 5748.0 , 0 , 0 , 0 , 0 , 0
18 , 1 , 18 , 978182 , 老板（Robam）大吸力免拆洗欧式抽油烟机 CXW-200-60Q5 , 3180.0 , 8957 , 446 , 129 , 51 , 211
19 , 1 , 19 , 1281352 , 老板（Robam）60Q5+33B7+717烟灶消三件套 , 5179.0 , 0 , 0 , 0 , 0 , 0
20 , 1 , 20 , 3783328 , 老板（Robam）60Q5+33B7+727 欧式大吸力吸油烟机燃气灶消毒柜套装 , 5380.0 , 0 , 0 , 0 , 0 , 0
